Form	Hyphenation
elemen	ele➊men
emisi	emi➊si
empat	em➊pat
energi	ener➊gi
Eropa	Ero➊pa
eskalasi	es➊ka➊la➊si
etnis	et➊nis
euro	eu➊ro
evakuasi	eva➊ku➊a➊si
Facebook	Face➊book
fakta	fak➊ta
faktor	fak➊tor
fase	fa➊se
fasilitas	fa➊si➊li➊tas
favorit	fa➊vo➊rit
Februari	Feb➊ru➊a➊ri
federal	fe➊de➊ral
fenomena	fe➊no➊me➊na
festival	fes➊ti➊val
final	fi➊nal
finansial	fi➊nan➊si➊al
fokus	fo➊kus
forum	fo➊rum
foto	fo➊to
fraksi	frak➊si
fungsi	fung➊si
gabungan	gabung➊an
gading	ga➊ding
gadis	ga➊dis
gagal	ga➊gal
gagasan	ga➋gas➊an
gaji	ga➊ji
gambar	gam➊bar
gambaran	gam➋bar➊an
ganda	gan➊da
gangguan	gang➋gu➊an
ganti	gan➊ti
garis	ga➊ris
gawang	ga➊wang
gaya	ga➊ya
Gaza	Ga➊za
gedung	ge➊dung
gelap	ge➊lap
gelar	ge➊lar
gelombang	ge➊lom➊bang
gembira	gem➊bi➊ra
gempa	gem➊pa
gencatan	gen➋cat➊an
generasi	ge➊ner➊asi
gerak	ge➊rak
gerakan	ge➋rak➊an
gereja	ge➊re➊ja
global	glo➊bal
gubernur	gu➊ber➊nur
gugatan	gu➋gat➊an
Guido	Gui➊do
guna	gu➊na
gunung	gu➊nung
guru	gu➊ru
habis	ha➊bis
hadapan	ha➋dap➊an
hadiah	ha➊di➊ah
hadir	ha➊dir
hakim	ha➊kim
halaman	ha➊lam➊an
halnya	hal➊nya
haluan	ha➊lu➊an
hambatan	ham➋bat➊an
hampir	ham➊pir
hancur	han➊cur
hangat	ha➊ngat
hanya	ha➊nya
hanyalah	ha➋nya➊lah
harap	ha➊rap
harapan	ha➋rap➊an
harga	har➊ga
hari	ha➊ri
harian	ha➋ri➊an
harinya	ha➋ri➊nya
harus	ha➊rus
hasil	ha➊sil
hasilnya	ha➋sil➊nya
hati	ha➊ti
hebat	he➊bat
helikopter	he➊li➊kop➊ter
hendak	hen➊dak
heran	he➊ran
hewan	he➊wan
hidup	hi➊dup
hidupnya	hi➋dup➊nya
hijau	hi➊jau
hilang	hi➊lang
hingga	hing➊ga
hitam	hi➊tam
hotel	ho➊tel
hubungan	hu➋bung➊an
hujan	hu➊jan
hukum	hu➊kum
hukuman	hu➋kum➊an
human	hu➊man
hutan	hu➊tan
hutang	hu➊tang
ibaratnya	iba➋rat➊nya
identitas	iden➊ti➊tas
ideologi	ide➋o➊lo➊gi
Ikhwanul	Ik➊hwa➊nul
iklan	ik➊lan
iklim	ik➊lim
ilegal	ile➊gal
ilmiah	il➊mi➊ah
ilmu	il➊mu
ilmuwan	il➋mu➊wan
