Form	Pronunciation	PartOfSpeech	Features
বসতভিটা	bɔ.ʃot.bʰi.ʈa	*	*
বসতভিটার	bɔ.ʃɔt.bʰi.ʈar	*	*
বসতাম	boʃ.tam	*	*
বসতি	bɔ.ʃo.ti	*	*
বসতিতে	bɔ.ʃo.ti.te	*	*
বসতির	bɔ.ʃo.tir	*	*
বসতে	boʃ.te	*	*
বসতেই	boʃ.tei̯	*	*
বসতেও	boʃ.teo̯	*	*
বসতেন	boʃ.ten	*	*
বসতো	boʃ.to	*	*
বসদের	bɔs.der	*	*
বসন	bɔ.ʃon	*	*
বসনিয়া	bos.ni.a	*	*
বসনে	bɔ.ʃo.ne	*	*
বসন্ত	bɔ.ʃon.to	*	*
বসন্তকাল	bɔ.ʃon.to.kal	*	*
বসন্তকালীন	bɔ.ʃon.to.ka.lin	*	*
বসন্তকালে	bɔ.ʃon.to.ka.le	*	*
বসন্তকালের	bɔ.ʃon.to.ka.ler	*	*
বসন্তকে	bɔ.ʃon.to.ke	*	*
বসন্তপুর	bɔ.ʃon.to.pur	*	*
বসন্তবরণ	bɔ.ʃon.to.bɔ.ron	*	*
বসন্তবরণের	bɔ.ʃon.to.bɔ.ro.ner	*	*
বসন্তে	bɔ.son.te	*	*
বসন্তেই	bɔ.ʃon.tei̯	*	*
বসন্তের	bɔ.ʃon.ter	*	*
বসব	boʃ.bo	*	*
বসবার	boʃ.bar	*	*
বসবাস	bɔ.ʃo.baʃ	*	*
বসবাসকারী	bɔ.ʃo.baʃ.ka.ri	*	*
বসবাসকারীদের	bɔ.ʃo.baʃ.ka.ri.der	*	*
বসবাসকারীরা	bɔ.ʃo.baʃ.ka.ri.ra	*	*
বসবাসযোগ্য	bɔ.ʃo.baʃ.d͡ʒoɡ.ɡo	*	*
বসবাসরত	bɔ.ʃo.baʃ.rɔ.to	*	*
বসবাসরতদের	bɔ.ʃo.baʃ.rɔ.to.der	*	*
বসবাসের	bɔ.ʃo.ba.ʃer	*	*
বসবে	boʃ.be	*	*
বসবেন	boʃ.ben	*	*
বসবো	boʃ.bo	*	*
বসরা	bɔʃ.ra	*	*
বসল	boʃ.lo	*	*
বসলাম	boʃ.lam	*	*
বসলে	boʃ.le	*	*
বসলেই	boʃ.lei̯	*	*
বসলেও	boʃ.leo̯	*	*
বসলেন	boʃ.len	*	*
বসলো	boʃ.lo	*	*
বসা	bɔ.ʃa	*	*
বসাই	bɔ.ʃai̯	*	*
বসাও	bɔ.ʃao̯	*	*
বসাক	bɔ.ʃak	*	*
বসাকের	bɔ.ʃa.ker	*	*
বসাচ্ছে	bɔ.ʃat͡ʃ.t͡ʃʰe	*	*
বসাতে	bɔ.ʃa.te	*	*
বসাতেন	bɔ.ʃa.ten	*	*
বসান	bɔ.ʃan	*	*
বসানো	bɔ.ʃa.no	*	*
বসানোর	bɔ.ʃa.nor	*	*
বসাবে	bɔ.ʃa.be	*	*
বসাবেন	bɔ.ʃa.ben	*	*
বসার	bɔ.ʃar	*	*
বসারও	bɔ.ʃar.o	*	*
বসালে	bɔ.ʃa.le	*	*
বসালেন	bɔ.ʃa.len	*	*
বসি	bo.ʃi	*	*
বসিনি	bo.ʃi.ni	*	*
বসির	bo.ʃir	*	*
বসিল	bo.ʃi.lo	*	*
বসিলা	bo.ʃi.la	*	*
বসু	bo.su	*	*
বসুকে	bo.ʃu.ke	*	*
বসুধা	bo.ʃu.dʰa	*	*
বসুন	bo.ʃun	*	*
বসুন্ধরা	bo.ʃun.dʰɔ.ra	*	*
বসুন্ধরার	bo.ʃun.dʰɔ.rar	*	*
বসুমতী	bo.ʃu.mo.ti	*	*
বসুর	bo.ʃur	*	*
বসুরহাট	bo.ʃur.haʈ	*	*
বসে	bo.ʃe	*	*
বসেই	bo.ʃei̯	*	*
বসেও	bo.ʃeo̯	*	*
বসেছি	bo.ʃe.t͡ʃʰi	*	*
বসেছিল	bo.ʃe.t͡ʃʰi.lo	*	*
বসেছিলাম	bo.ʃe.t͡ʃʰi.lam	*	*
বসেছিলেন	bo.ʃe.t͡ʃʰi.len	*	*
বসেছে	bo.ʃe.t͡ʃʰe	*	*
বসেছেন	bo.ʃe.t͡ʃʰen	*	*
বসেন	bɔ.ʃen	*	*
বসেননি	bɔ.ʃen.ni	*	*
বসেনি	bɔ.ʃe.ni	*	*
বসের	bɔ.ser	*	*
বসো	bɔ.ʃo	*	*
বস্তা	bɔs.ta	*	*
বস্তাপ্রতি	bɔs.ta.pro.ti	*	*
বস্তাবন্দি	bɔs.ta.bon.di	*	*
বস্তাবন্দী	bɔs.ta.bon.di	*	*
বস্তাভর্তি	bɔs.ta.bʰor.ti	*	*
বস্তার	bɔs.tar	*	*
বস্তি	bos.ti	*	*
বস্তিগুলোতে	bos.ti.ɡu.lo.te	*	*
বস্তিঘর	bos.ti.ɡʰɔr	*	*
বস্তিতে	bos.ti.te	*	*
বস্তিবাসী	bos.ti.ba.ʃi	*	*
বস্তিবাসীদের	bos.ti.ba.ʃi.der	*	*
বস্তিবাসীর	bos.ti.ba.ʃir	*	*
বস্তিবাসীরা	bos.ti.ba.ʃi.ra	*	*
বস্তির	bos.tir	*	*
বস্তু	bos.tu	*	*
বস্তুই	bos.tui̯	*	*
বস্তুকে	boʃ.tu.ke	*	*
বস্তুগত	bos.tu.ɡɔ.to	*	*
বস্তুগুলো	bos.tu.ɡu.lo	*	*
বস্তুটি	bos.tu.ʈi	*	*
বস্তুটির	bos.tu.ʈir	*	*
বস্তুত	bos.tu.to	*	*
বস্তুতপক্ষে	bos.tu.to.pok.kʰe	*	*
বস্তুতে	boʃ.tu.te	*	*
বস্তুনিষ্ঠ	bos.tu.niʃ.ʈʰɔ	*	*
বস্তুনিষ্ঠতা	bos.tu.niʃ.ʈʰo.ta	*	*
বস্তুবাদী	bos.tu.ba.di	*	*
বস্তুর	bos.tur	*	*
বস্ত্র	bɔs.tro	*	*
বস্ত্রকল	bɔs.tro.kɔl	*	*
বস্ত্রমন্ত্রী	bɔs.tro.mon.tri	*	*
বস্ত্রশিল্প	bɔs.tro.ʃil.po	*	*
বস্ত্রশিল্পের	bɔs.tro.ʃil.per	*	*
বস্ত্রহরণ	bɔs.tro.hɔ.ron	*	*
বস্ত্রের	bɔs.trer	*	*
বহতা	bɔ.ho.ta	*	*
বহদ্দারহাট	bɔ.hod.dar.haʈ	*	*
বহন	bɔ.hon	*	*
বহনকারী	bɔ.hon.ka.ri	*	*
বহনযোগ্য	bɔ.hon.d͡ʒoɡ.ɡo	*	*
বহনে	bɔ.ho.ne	*	*
বহনের	bɔ.ho.ner	*	*
বহমান	bɔ.ho.man	*	*
বহর	bɔ.hor	*	*
বহরমপুর	bɔh.rom.pur	*	*
বহরে	bɔ.ho.re	*	*
বহরের	bɔ.ho.rer	*	*
বহাল	bɔ.hal	*	*
বহালের	bɔ.ha.ler	*	*
বহি	bo.hi	*	*
বহিঃপ্রকাশ	bo.hi.pro.kaʃ	*	*
বহিঃসমর্পণ	bo.hi.ʃɔ.mɔr.pɔn	*	*
বহিপীর	bo.hi.pir	*	*
বহিরাগত	bo.hi.ra.ɡɔ.to	*	*
বহিরাগতদের	bo.hi.ra.ɡɔ.to.der	*	*
বহিরাগতরা	bo.hi.ra.ɡɔ.to.ra	*	*
বহিরাগমন	bo.hi.ra.ɡɔ.mon	*	*
বহির্গমন	bo.hir.ɡɔ.mon	*	*
বহির্বিভাগ	bo.hir.bi.bʰaɡ	*	*
বহির্বিভাগে	bo.hir.bi.bʰa.ɡe	*	*
বহির্বিভাগের	bo.hir.bi.bʰa.ɡer	*	*
বহির্বিশ্ব	bo.hir.biʃ.ʃo	*	*
বহির্বিশ্বে	bo.hir.biʃ.ʃe	*	*
বহির্বিশ্বের	bo.hir.biʃ.ʃer	*	*
বহির্ভুত	bo.hir.bʰu.to	*	*
বহির্ভূত	bo.hir.bʰu.to	*	*
বহির্ভূতভাবে	bo.hir.bʰu.to.bʰa.be	*	*
বহির্মুখী	bo.hir.mu.kʰi	*	*
বহিষ্কার	bo.hiʃ.kar	*	*
বহিষ্কারাদেশ	bo.hiʃ.ka.ra.deʃ	*	*
বহিষ্কারের	bo.hiʃ.ka.rer	*	*
বহিষ্কৃত	bɔ.hiʃ.kri.to	*	*
বহিস্কার	bo.hiʃ.kar	*	*
বহিস্কারের	bo.hiʃ.ka.rer	*	*
বহু	bo.hu	*	*
বহুকাল	bo.hu.kal	*	*
বহুকালের	bo.hu.ka.ler	*	*
বহুকোষী	bo.hu.ko.ʃi	*	*
বহুক্ষণ	bo.huk.kʰɔn	*	*
বহুগামী	bo.hu.ɡa.mi	*	*
বহুগুণ	bo.hu.ɡun	*	*
বহুগুণে	bo.hu.ɡu.ne	*	*
বহুজনের	bo.hu.d͡ʒɔ.ner	*	*
বহুজাতিক	bo.hu.d͡ʒa.tik	*	*
বহুতল	bo.hu.tɔl	*	*
বহুতলবিশিষ্ট	bo.hu.tɔl.bi.ʃiʃ.ʈo	*	*
বহুত্ববাদী	bo.hut.to.ba.di	*	*
বহুদিন	bo.hu.din	*	*
বহুদিনের	bo.hu.di.ner	*	*
বহুদূর	bo.hu.dur	*	*
বহুদূরে	bo.hu.du.re	*	*
বহুনির্বাচনি	bo.hu.nir.ba.t͡ʃo.ni	*	*
বহুনির্বাচনী	bo.hu.nir.ba.t͡ʃo.ni	*	*
বহুপাক্ষিক	bo.hu.pak.kʰik	*	*
বহুপ্রতীক্ষিত	bo.hu.pro.tik.kʰi.to	*	*
বহুবচন	bo.hu.bɔ.t͡ʃon	*	*
বহুবচনে	bo.hu.bɔ.t͡ʃo.ne	*	*
বহুবার	bo.hu.bar	*	*
বহুবারই	bo.hu.bar.i	*	*
বহুবিধ	bo.hu.bidʰ	*	*
বহুবিবাহ	bo.hu.bi.ba.ho	*	*
বহুবিবাহের	bo.hu.bi.ba.her	*	*
বহুব্রীহি	bo.hub.ri.hi	*	*
বহুভাবে	bo.hu.bʰa.be	*	*
বহুভাষাবিদ	bo.hu.bʰa.ʃa.bid	*	*
বহুমাত্রিক	bo.hu.mat.rik	*	*
বহুমাত্রিকতা	bo.hu.mat.ri.kɔ.ta	*	*
বহুমুখী	bo.hu.mu.kʰi	*	*
বহুমুখীকরণ	bo.hu.mu.kʰi.kɔ.ron	*	*
বহুমূত্র	bo.hu.mut.ro	*	*
বহুমূল্য	bo.hu.mul.lo	*	*
বহুরূপী	bo.hu.ru.pi	*	*
বহুল	bo.hul	*	*
বহুলভাবে	bo.hul.bʰa.be	*	*
বহুলাংশে	bo.hu.laŋ.ʃe	*	*
বহুসংখ্যক	bo.hu.ʃɔŋ.kʰok	*	*
বহে	bɔ.he	*	*
বহ্নিশিখা	bon.hi.ʃi.kʰa	*	*
বা	ba	*	*
বাই	bai̯	*	*
বাইক	bai̯k	*	*
বাইকটি	bai̯k.ʈi	*	*
বাইকটিতে	bai̯k.ʈi.te	*	*
বাইকটির	bai̯k.ʈir	*	*
বাইকিং	bai̯.kiŋ	*	*
বাইকে	bai̯.ke	*	*
বাইকের	bai̯.ker	*	*
বাইক্কা	bai̯k.ka	*	*
বাইচ	bai̯t͡ʃ	*	*
বাইচের	bai̯.t͡ʃer	*	*
বাইজি	bai̯.d͡ʒi	*	*
বাইজির	bai̯.d͡ʒir	*	*
বাইট	ba.iʈ	*	*
বাইডেন	bai̯.ɖen	*	*
বাইডেনের	bai̯.ɖe.ner	*	*
বাইত	bai̯.to	*	*
বাইতুর	bai̯.tur	*	*
বাইতুল	bai̯.tul	*	*
বাইতে	bai̯.te	*	*
বাইন	bai̯n	*	*
বাইনারি	bai̯.na.ri	*	*
বাইপাইল	bai̯.pa.il	*	*
বাইপাস	bai̯.pas	*	*
বাইপাসটি	bai̯.pas.ʈi	*	*
বাইপাসে	bai̯.pa.se	*	*
বাইপাসের	bai̯.pa.ser	*	*
বাইবেল	bai̯.bel	*	*
বাইবেলে	bai̯.be.le	*	*
বাইবেলের	bai̯.be.ler	*	*
বাইম	bai̯m	*	*
বাইর	bai̯r	*	*
বাইরে	bai̯.re	*	*
বাইরেই	bai̯.rei̯	*	*
বাইরের	bai̯.rer	*	*
বাইশ	bai̯ʃ	*	*
বাইশে	bai̯.ʃe	*	*
বাইসনের	bai̯.sɔ.ner	*	*
বাইসাইকেল	bai̯.sai̯.kel	*	*
বাইসাইকেলে	bai̯.ʃai̯.ke.le	*	*
বাইসাইকেলের	bai̯.sai̯.ke.ler	*	*
বাউ	bau̯	*	*
বাউকুল	bau̯.kul	*	*
বাউচার	bau̯.t͡ʃar	*	*
বাউণ্ডুলে	bau̯n.ɖu.le	*	*
বাউন্ডারি	bau̯n.ɖa.ri	*	*
বাউন্ডারিও	bau̯n.ɖa.rio̯	*	*
বাউন্ডারিতে	ba.un.ɖa.ri.te	*	*
বাউন্ডারির	ba.un.ɖa.rir	*	*
বাউন্স	bau̯ns	*	*
বাউন্সার	bau̯n.sar	*	*
বাউন্সারে	ba.un.sa.re	*	*
বাউন্সারের	ba.un.sa.rer	*	*
বাউন্সি	ba.un.si	*	*
বাউন্সের	bau̯n.ser	*	*
বাউফল	bau̯.fɔl	*	*
বাউফলে	bau̯.fɔ.le	*	*
বাউফলের	bau̯.fɔ.ler	*	*
বাউবির	bau̯.bir	*	*
বাউল	bau̯l	*	*
বাউলগান	ba.ul.ɡan	*	*
বাউলগানের	ba.ul.ɡa.ner	*	*
বাউলদের	ba.ul.der	*	*
বাউলরা	ba.ul.ra	*	*
বাউলের	bau̯.ler	*	*
বাউসা	bau̯.ʃa	*	*
বাংকার	baŋ.kar	*	*
বাংকারের	baŋ.ka.rer	*	*
বাংলদেশে	baŋ.la.de.ʃe	*	*
বাংলা	baŋ.la	*	*
বাংলাই	baŋ.lai̯	*	*
বাংলাও	baŋ.lao̯	*	*
বাংলাকে	baŋ.la.ke	*	*
বাংলাটিম	baŋ.la.ʈim	*	*
বাংলাটিমের	baŋ.la.ʈi.mer	*	*
বাংলাতে	baŋ.la.te	*	*
বাংলাতেই	baŋ.la.tei̯	*	*
বাংলাতেও	baŋ.la.teo̯	*	*
বাংলাদেশ	baŋ.la.deʃ	*	*
বাংলাদেশ-ইংল্যান্ড	baŋ.la.deʃ.iŋ.lænɖ	*	*
বাংলাদেশ-কানাডা	baŋ.la.deʃ.ka.na.ɖa	*	*
বাংলাদেশই	baŋ.la.deʃ.i	*	*
বাংলাদেশও	baŋ.la.deʃ.o	*	*
বাংলাদেশকে	baŋ.la.deʃ.ke	*	*
বাংলাদেশকেই	baŋ.la.deʃ.kei̯	*	*
বাংলাদেশকেও	baŋ.la.deʃ.keo̯	*	*
বাংলাদেশবিরোধী	baŋ.la.deʃ.bi.ro.dʰi	*	*
বাংলাদেশমায়ানমার	baŋ.la.deʃ.mai̯.an.mar	*	*
বাংলাদেশসহ	baŋ.la.deʃ.ʃɔ.ho	*	*
বাংলাদেশি	baŋ.la.de.ʃi	*	*
বাংলাদেশিই	baŋ.la.de.ʃii̯	*	*
বাংলাদেশিও	baŋ.la.de.si.o	*	*
বাংলাদেশিকে	baŋ.la.de.ʃi.ke	*	*
বাংলাদেশিদের	baŋ.la.de.ʃi.der	*	*
বাংলাদেশির	baŋ.la.de.ʃir	*	*
বাংলাদেশিরা	baŋ.la.de.ʃi.ra	*	*
বাংলাদেশিরাই	baŋ.la.de.ʃi.rai̯	*	*
বাংলাদেশিরাও	baŋ.la.de.ʃi.rao̯	*	*
বাংলাদেশিসহ	baŋ.la.de.ʃi.ʃɔ.ho	*	*
বাংলাদেশী	baŋ.la.de.ʃi	*	*
বাংলাদেশী-ভারতীয়	baŋ.la.de.ʃi.bʰa.ro.tio̯	*	*
বাংলাদেশীকে	baŋ.la.de.ʃi.ke	*	*
বাংলাদেশীদের	baŋ.la.de.ʃi.der	*	*
বাংলাদেশীর	baŋ.la.de.ʃir	*	*
বাংলাদেশীরা	baŋ.la.de.ʃi.ra	*	*
বাংলাদেশীসহ	baŋ.la.de.ʃi.ʃɔ.ho	*	*
বাংলাদেশেই	baŋ.la.de.ʃei̯	*	*
বাংলাদেশেও	baŋ.la.de.ʃeo̯	*	*
বাংলাদেশের	baŋ.la.de.ʃer	*	*
বাংলাদেশেরই	baŋ.la.de.ʃe.ri	*	*
বাংলাদেশেরও	baŋ.la.de.ʃe.ro	*	*
বাংলানগরে	baŋ.la.nɔ.ɡo.re	*	*
বাংলানিউজ	baŋ.la.niu̯d͡ʒ	*	*
বাংলাপিডিয়ার	baŋ.la.pi.ɖi.ar	*	*
বাংলাবাজার	baŋ.la.ba.d͡ʒar	*	*
বাংলাবাজারে	baŋ.la.ba.d͡ʒa.re	*	*
বাংলাবাজারের	baŋ.la.ba.d͡ʒa.rer	*	*
বাংলাবান্ধা	baŋ.la.ban.dʰa	*	*
বাংলাভাষা	baŋ.la.bʰa.ʃa	*	*
বাংলাভাষার	baŋ.la.bʰa.ʃar	*	*
বাংলাভাষী	baŋ.la.bʰa.ʃi	*	*
বাংলাভাষীদের	baŋ.la.bʰa.ʃi.der	*	*
বাংলাভিশন	baŋ.la.bʰi.ʃon	*	*
বাংলাভিশনে	baŋ.la.bʰi.ʃɔ.ne	*	*
বাংলাভিশনের	baŋ.la.bʰi.ʃɔ.ner	*	*
বাংলামটর	baŋ.la.mɔ.ʈor	*	*
বাংলামতি	baŋ.la.mo.ti	*	*
বাংলামেইল	baŋ.la.mei̯l	*	*
বাংলামেইলকে	baŋ.la.mei̯l.ke	*	*
বাংলামেইলকেও	baŋ.la.mei̯l.keo̯	*	*
বাংলামেইলে	baŋ.la.mei̯.le	*	*
বাংলামোটর	baŋ.la.mo.ʈor	*	*
বাংলামোটরে	baŋ.la.mo.ʈo.re	*	*
বাংলামোটরের	baŋ.la.mo.ʈo.rer	*	*
বাংলায়	baŋ.lae̯	*	*
বাংলার	baŋ.lar	*	*
বাংলালিংকের	baŋ.la.liŋ.ker	*	*
বাংলাসহ	baŋ.la.ʃɔ.ho	*	*
বাংলো	baŋ.lo	*	*
বাংলোতে	baŋ.lo.te	*	*
বাংলোর	baŋ.lor	*	*
বাঁ	ba	*	*
বাঁইচা	bai̯.t͡ʃa	*	*
বাঁক	bak	*	*
বাঁকখালী	bak.kʰa.li	*	*
বাঁকা	ba.ka	*	*
বাঁকানো	ba.ka.no	*	*
বাঁকুড়া	ba.ku.ra	*	*
বাঁকুড়ায়	ba.ku.rai̯	*	*
বাঁকে	ba.ke	*	*
বাঁকের	ba.ker	*	*
বাঁচতে	bat͡ʃ.te	*	*
বাঁচতেই	bat͡ʃ.tei̯	*	*
বাঁচব	bat͡ʃ.bo	*	*
বাঁচবার	bat͡ʃ.bar	*	*
বাঁচবে	bat͡ʃ.be	*	*
বাঁচবেন	bat͡ʃ.ben	*	*
বাঁচবো	bat͡ʃ.bo	*	*
বাঁচল	bat͡ʃ.lo	*	*
বাঁচলে	bat͡ʃ.le	*	*
বাঁচলেও	bat͡ʃ.leo̯	*	*
বাঁচলেন	bat͡ʃ.len	*	*
বাঁচা	ba.t͡ʃa	*	*
বাঁচাই	ba.t͡ʃai̯	*	*
বাঁচাও	ba.t͡ʃao̯	*	*
বাঁচাতে	ba.t͡ʃa.te	*	*
বাঁচাতেই	ba.t͡ʃa.tei̯	*	*
বাঁচান	ba.t͡ʃan	*	*
বাঁচানো	ba.t͡ʃa.no	*	*
বাঁচানোই	ba.t͡ʃa.noi̯	*	*
বাঁচানোর	ba.t͡ʃa.nor	*	*
বাঁচাবার	ba.t͡ʃa.bar	*	*
বাঁচাবে	ba.t͡ʃa.be	*	*
বাঁচার	ba.t͡ʃar	*	*
বাঁচালেন	ba.t͡ʃa.len	*	*
বাঁচি	ba.t͡ʃi	*	*
বাঁচে	ba.t͡ʃe	*	*
বাঁচেন	ba.t͡ʃen	*	*
বাঁচেনি	ba.t͡ʃe.ni	*	*
বাঁট	baʈ	*	*
বাঁদর	ba.dor	*	*
বাঁদরের	ba.do.rer	*	*
বাঁদিকে	ba.di.ke	*	*
বাঁদী	ba.di	*	*
বাঁধ	badʰ	*	*
বাঁধও	badʰ.o	*	*
বাঁধছে	badʰ.t͡ʃʰe	*	*
বাঁধছেন	badʰ.t͡ʃʰen	*	*
বাঁধটি	badʰ.ʈi	*	*
বাঁধতে	badʰ.te	*	*
বাঁধতেই	badʰ.tei̯	*	*
বাঁধন	ba.dʰon	*	*
বাঁধনহারা	ba.dʰon.ha.ra	*	*
বাঁধনে	ba.dʰo.ne	*	*
বাঁধনের	ba.dʰo.ner	*	*
বাঁধবে	badʰ.be	*	*
বাঁধবেন	badʰ.ben	*	*
বাঁধভাঙা	badʰ.bʰa.ŋa	*	*
বাঁধল	badʰ.lo	*	*
বাঁধলে	badʰ.le	*	*
বাঁধলেও	badʰ.leo̯	*	*
বাঁধলেন	badʰ.len	*	*
বাঁধসহ	badʰ.ʃɔ.ho	*	*
বাঁধা	ba.dʰa	*	*
বাঁধাই	ba.dʰai̯	*	*
বাঁধাকপি	ba.dʰa.ko.pi	*	*
বাঁধাকপিতে	ba.dʰa.ko.pi.te	*	*
বাঁধাকপির	ba.dʰa.ko.pir	*	*
বাঁধাধরা	ba.dʰa.dʰɔ.ra	*	*
বাঁধানো	ba.dʰa.no	*	*
বাঁধানোর	ba.dʰa.nor	*	*
বাঁধার	ba.dʰar	*	*
বাঁধি	ba.dʰi	*	*
বাঁধুন	ba.dʰun	*	*
বাঁধে	ba.dʰe	*	*
বাঁধেন	ba.dʰen	*	*
বাঁধেনি	ba.dʰe.ni	*	*
বাঁধের	ba.dʰer	*	*
বাঁয়ে	ba.e	*	*
বাঁশ	baʃ	*	*
বাঁশকাটা	baʃ.ka.ʈa	*	*
বাঁশখালী	baʃ.kʰa.li	*	*
বাঁশখালীতে	baʃ.kʰa.li.te	*	*
বাঁশখালীর	baʃ.kʰa.lir	*	*
বাঁশতলা	baʃ.tɔ.la	*	*
বাঁশবাগানে	baʃ.ba.ɡa.ne	*	*
বাঁশি	ba.ʃi	*	*
বাঁশিটি	ba.ʃi.ʈi	*	*
বাঁশিতে	ba.ʃi.te	*	*
বাঁশির	ba.ʃir	*	*
বাঁশে	ba.ʃe	*	*
বাঁশের	ba.ʃer	*	*
বাঁহাতি	ba.ha.ti	*	*
বাক	bak	*	*
বাকপ্রতিবন্ধী	bak.pro.ti.bon.dʰi	*	*
বাকবিতণ্ডা	bak.bi.tɔn.ɖa	*	*
বাকবিতণ্ডার	bak.bi.tɔn.ɖar	*	*
বাকর	ba.kɔr	*	*
বাকরখানির	ba.kor.kʰa.nir	*	*
বাকরি	bak.ri	*	*
বাকরুদ্ধ	bak.rud.dʰo	*	*
বাকল	ba.kol	*	*
বাকল্যান্ড	bak.lænɖ	*	*
বাকশক্তি	bak.ʃok.ti	*	*
বাকশাল	bak.ʃal	*	*
বাকশালী	bak.ʃa.li	*	*
বাকশালের	bak.ʃa.ler	*	*
বাকস্বাধীনতা	bak.ʃa.dʰi.nɔ.ta	*	*
বাকস্বাধীনতার	bak.ʃa.dʰi.nɔ.tar	*	*
বাকার	ba.kar	*	*
বাকারা	ba.ka.ra	*	*
বাকারার	ba.ka.rar	*	*
বাকি	ba.ki	*	*
বাকিংহাম	ba.kiŋ.ham	*	*
বাকিগুলো	ba.ki.ɡu.lo	*	*
বাকিগুলোতে	ba.ki.ɡu.lo.te	*	*
বাকিগুলোর	ba.ki.ɡu.lor	*	*
বাকিটা	ba.ki.ʈa	*	*
বাকিটুকু	ba.ki.ʈu.ku	*	*
বাকিতে	ba.ki.te	*	*
বাকিদের	ba.ki.der	*	*
বাকিদেরও	ba.ki.der.o	*	*
বাকির	ba.kir	*	*
বাকিরা	ba.ki.ra	*	*
বাকিরাও	ba.ki.ra.o	*	*
বাকী	ba.ki	*	*
বাকীটা	ba.ki.ʈa	*	*
বাকীদের	ba.ki.der	*	*
বাকীরা	ba.ki.ra	*	*
বাকু	ba.ku	*	*
বাকৃবির	ba.kri.bir	*	*
বাকেট	ba.keʈ	*	*
বাকের	ba.ker	*	*
বাকেরগঞ্জ	ba.ker.ɡɔnd͡ʒ	*	*
বাক্কা	bak.ka	*	*
বাক্কার	bak.kar	*	*
বাক্প্রতিবন্ধী	bak.pro.ti.bon.dʰi	*	*
বাক্য	bak.ko	*	*
বাক্যও	bak.ko.o	*	*
বাক্যকে	bak.ko.ke	*	*
বাক্যগুলো	bak.ko.ɡu.lo	*	*
বাক্যগুলোর	bak.ko.ɡu.lor	*	*
বাক্যটি	bak.ko.ʈi	*	*
বাক্যটিতে	bak.ko.ʈi.te	*	*
বাক্যটির	bak.ko.ʈir	*	*
বাক্যতত্ত্ব	bak.ko.tɔt.to	*	*
বাক্যবাণ	bak.ko.ban	*	*
বাক্যবাণে	bak.ko.ba.ne	*	*
বাক্যাংশ	bak.kaŋ.ʃo	*	*
বাক্যে	bak.ke	*	*
বাক্যেই	bak.kei̯	*	*
বাক্যের	bak.ker	*	*
বাক্স	bak.ʃo	*	*
বাক্সটা	bak.so.ʈa	*	*
বাক্সটি	bak.ʃo.ʈi	*	*
বাক্সবন্দী	bak.ʃo.bon.di	*	*
বাক্সে	bak.ʃe	*	*
বাক্সের	bak.ʃer	*	*
বাখরখানি	ba.kʰor.kʰa.ni	*	*
বাখরাবাদ	bakʰ.ra.bad	*	*
বাগ	baɡ	*	*
বাগচী	baɡ.t͡ʃi	*	*
বাগচীর	baɡ.t͡ʃir	*	*
বাগদত্তা	baɡ.dɔt.ta	*	*
বাগদা	baɡ.da	*	*
বাগদাদ	baɡ.dad	*	*
বাগদাদি	baɡ.da.di	*	*
বাগদাদির	baɡ.da.dir	*	*
বাগদাদী	baɡ.da.di	*	*
বাগদাদে	baɡ.da.de	*	*
বাগদাদের	baɡ.da.der	*	*
বাগদান	baɡ.dan	*	*
বাগদানের	baɡ.da.ner	*	*
বাগদি	baɡ.di	*	*
বাগধারা	baɡ.dʰa.ra	*	*
বাগধারাটির	baɡ.dʰa.ra.ʈir	*	*
বাগধারার	baɡ.dʰa.rar	*	*
বাগমারা	baɡ.ma.ra	*	*
বাগমারার	baɡ.ma.rar	*	*
বাগান	ba.ɡan	*	*
বাগানও	ba.ɡan.o	*	*
বাগানকে	ba.ɡan.ke	*	*
বাগানগুলো	ba.ɡan.ɡu.lo	*	*
বাগানগুলোতে	ba.ɡan.ɡu.lo.te	*	*
বাগানটি	ba.ɡan.ʈi	*	*
বাগানবিলাস	ba.ɡan.bi.laʃ	*	*
বাগানসহ	ba.ɡan.ʃɔ.ho	*	*
বাগানে	ba.ɡa.ne	*	*
বাগানেই	ba.ɡa.nei̯	*	*
বাগানেও	ba.ɡa.neo̯	*	*
বাগানের	ba.ɡan.er	*	*
বাগার	ba.ɡar	*	*
বাগি	ba.ɡi	*	*
বাগিচা	ba.ɡi.t͡ʃa	*	*
বাগিচার	ba.ɡi.t͡ʃar	*	*
বাগে	ba.ɡe	*	*
বাগের	ba.ɡer	*	*
বাগেরহাট	ba.ɡer.haʈ	*	*
বাগেরহাটে	ba.ɡer.ha.ʈe	*	*
বাগেরহাটের	ba.ɡer.ha.ʈer	*	*
বাগ্	baɡ	*	*
বাঘ	baɡʰ	*	*
বাঘই	baɡʰ.i	*	*
বাঘও	baɡʰ.o	*	*
বাঘকে	baɡʰ.ke	*	*
বাঘটা	baɡʰ.ʈa	*	*
বাঘটি	baɡʰ.ʈi	*	*
বাঘটিকে	baɡʰ.ʈi.ke	*	*
বাঘদের	baɡʰ.der	*	*
বাঘা	ba.ɡʰa	*	*
বাঘাইহাট	ba.ɡʰai̯.haʈ	*	*
বাঘার	ba.ɡʰar	*	*
বাঘিনী	ba.ɡʰi.ni	*	*
বাঘে	ba.ɡʰe	*	*
বাঘের	ba.ɡʰer	*	*
বাঘেরা	ba.ɡʰe.ra	*	*
বাঙলা	baŋ.la	*	*
